Title,Year,Runtime,IMDB_Rating,Metascore,Votes,Description,Decade,Rating_Category,Runtime_Category
Braveheart,1995,178,8.4,68.0,34709,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1990,Very Good,Long (120–180 min)
Come and See,1985,142,8.4,78.69,34709,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",1980,Very Good,Long (120–180 min)
Aliens,1986,137,8.4,84.0,34709,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1980,Very Good,Long (120–180 min)
Amadeus,1984,160,8.4,88.0,34709,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",1980,Very Good,Long (120–180 min)
Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85.0,34709,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1980,Very Good,Standard (90–120 min)
The Boat,1981,149,8.4,86.0,34709,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",1980,Very Good,Long (120–180 min)
The Shining,1980,146,8.4,66.0,34709,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,Very Good,Long (120–180 min)
High and Low,1963,143,8.4,90.0,34709,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1960,Very Good,Long (120–180 min)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,34709,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1960,Very Good,Standard (90–120 min)
Witness for the Prosecution,1957,116,8.4,78.69,34709,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1950,Very Good,Standard (90–120 min)
Paths of Glory,1957,88,8.4,90.0,34709,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",1950,Very Good,Short (<90 min)
Sunset Blvd.,1950,110,8.4,78.69,34709,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,Very Good,Standard (90–120 min)
The Great Dictator,1940,125,8.4,78.69,34709,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,Very Good,Long (120–180 min)
Hamilton,2020,160,8.3,90.0,34709,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020,Very Good,Long (120–180 min)
Raatchasan,2018,170,8.3,78.69,34709,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,2010,Very Good,Long (120–180 min)
Ayla: The Daughter of War,2017,125,8.3,78.69,34709,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",2010,Very Good,Long (120–180 min)
